asset_id,ticker,asset_name,category,subcategory,status,shares_outstanding,offering_date,offering_price_per_share,offering_market_cap,first_trade_date,exit_date,exit_price_per_share,exit_value_total,exit_type,source_reference,verified_at,notes,rally_url,currency,implied_offering_market_cap,warning_reason,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,trading,4000.0,2020-09-01,50.0,200000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-09.,,,200000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,trading,1000.0,2020-06-01,28.0,28000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-06.,,,28000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,trading,2000.0,2020-12-01,19.5,39000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-12.,,,39000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,trading,5000.0,2022-02-01,5.0,25000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-02.,,,25000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,trading,7500.0,2021-06-01,6.2,46500.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-06.,,,46500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,trading,2000.0,2020-05-01,70.0,140000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-05.,,,140000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,trading,2500.0,2021-12-01,10.0,25000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-12.,,,25000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,trading,2000.0,2021-04-01,11.0,22000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-04.,,,22000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,trading,1000.0,2022-01-01,8.0,8000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-01.,,,8000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,trading,5000.0,2022-08-01,4.0,20000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-08.,,,20000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-karuizawa,KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,trading,13000.0,2021-11-01,5.0,65000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2021-11.,,,65000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-keller,KELLER,Helen Keller 1892 Book (Inscribed),books,rare books,trading,3000.0,2022-03-01,5.0,15000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-03.,,,15000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-kerouac,KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,trading,4900.0,2020-12-01,20.0,98000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-12.,,,98000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-lotf,LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,trading,2000.0,2022-03-01,7.0,14000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-03.,,,14000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-lotr,LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,trading,1000.0,2020-06-01,29.0,29000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-06.,,,29000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,trading,1000.0,2021-11-01,13.25,13250.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2021-11.,,,13250.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,trading,5000.0,2022-02-01,6.0,30000.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2022-02.,,,30000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-macallan3,MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,trading,4100.0,2022-07-01,5.0,20500.0,,,,,,Rally App,2026-07-14T00:00:00Z,Currently trading. Submitted offering_date was 2022-07.,,,20500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-marx,MARX,Karl Marx - Das Kapital (First Edition),books,rare books,trading,8000.0,2021-10-01,15.0,120000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-10.,,,120000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,trading,30000.0,2021-10-01,20.0,600000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2021-10.,,,600000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-mobydick,MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,trading,10000.0,2022-01-01,7.0,70000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-01.,,,70000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,trading,6000.0,2021-02-01,5.0,30000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.,,,30000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-newton,NEWTON,Isaac Newton - Principia (First Edition),books,rare books,trading,30000.0,2021-05-01,10.0,300000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-05.,,,300000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-newworld,NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,trading,2000.0,2022-01-01,7.0,14000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-01.,,,14000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
